County,Percent_Households_Below_Poverty_Level,Median_Age,Homeowner_Vacancy_Rate,Percent_Pop_25_And_Over_With_College_Or_Higher_Educ
"Autauga, Alabama",14.7,38.2,1.4,26.6
"Baldwin, Alabama",10.5,43,3.3,31.9
"Barbour, Alabama",27.5,40.4,3.8,11.6
"Bibb, Alabama",18.4,40.9,1.5,10.4
"Blount, Alabama",14.2,40.7,0.7,13.1
"Bullock, Alabama",28.2,40.2,0.2,12.1
"Butler, Alabama",20.5,40.8,3.7,16.1
"Calhoun, Alabama",18,39.6,2.1,18.5
"Chambers, Alabama",18.1,42,2.7,13.3
"Cherokee, Alabama",15.6,46.5,3.3,12.8
"Chilton, Alabama",18.9,38.7,2.9,12.7
"Choctaw, Alabama",22.7,46.3,0.6,11.9
"Clarke, Alabama",26.1,42.5,1.4,12.2
"Clay, Alabama",19.3,43.3,2,10.6
"Cleburne, Alabama",18.5,43.1,1,15.4
"Coffee, Alabama",15.2,39.3,2.1,22.8
"Colbert, Alabama",16.1,42.4,1.4,18.1
"Conecuh, Alabama",18.1,44.8,2,12.8
"Coosa, Alabama",13.3,48.4,3.7,12.8
"Covington, Alabama",18.6,43.3,2.3,15.3
"Crenshaw, Alabama",16.4,41.7,1.3,17.4
"Cullman, Alabama",15,40.8,2,13.9
"Dale, Alabama",16.4,37.3,1.5,18.1
"Dallas, Alabama",26.7,39.6,2.7,14.7
"DeKalb, Alabama",20.1,39.5,1.9,13
"Elmore, Alabama",12.1,38.7,2.7,25.1
"Escambia, Alabama",22.8,40,2,12.5
"Etowah, Alabama",17.3,41.4,1.3,17.8
"Fayette, Alabama",20.4,43.7,2,12.4
"Franklin, Alabama",16,38.6,3.1,14
"Geneva, Alabama",21.4,43.2,2.5,12.5
"Greene, Alabama",34.5,40.9,1.1,10.1
"Hale, Alabama",26.4,40.5,1.3,14.2
"Henry, Alabama",16.4,44.4,2.7,17.1
"Houston, Alabama",17.3,40.1,2.3,21.7
"Jackson, Alabama",18.4,43.1,1.2,14
"Jefferson, Alabama",16.1,37.7,1.6,33.4
"Lamar, Alabama",19.8,44.8,1.2,11.9
"Lauderdale, Alabama",16.4,41,1.8,23.5
"Lawrence, Alabama",17.5,42.4,0.5,12.6
"Lee, Alabama",21.1,31.9,1.8,35.3
"Limestone, Alabama",13.1,39.7,1.7,25.7
"Lowndes, Alabama",28.5,42,1.7,14.7
"Macon, Alabama",25.5,38.6,1.6,20.4
"Madison, Alabama",12.5,38.5,1.3,42.8
"Marengo, Alabama",26.7,42.2,3,16.1
"Marion, Alabama",19.6,44.3,2,12.8
"Marshall, Alabama",17.7,38.8,2.2,19.4
"Mobile, Alabama",18.1,37.9,1.9,23.2
"Monroe, Alabama",33.6,43.3,0.3,13.5
"Montgomery, Alabama",17.8,36.4,2.4,33.4
"Morgan, Alabama",15,40.6,1.3,22.4
"Perry, Alabama",33.4,36.9,1,22.8
"Pickens, Alabama",22,42.2,1.1,14.1
"Pike, Alabama",25.8,31.2,2.5,23.7
"Randolph, Alabama",17.4,43.4,1.1,16.5
"Russell, Alabama",19.9,36.3,3.8,17.8
"St. Clair, Alabama",12.1,40.3,1.4,16.1
"Shelby, Alabama",8,39.3,1.2,42.9
"Sumter, Alabama",35.9,35.6,0.7,21.6
"Talladega, Alabama",19.5,41.3,3.2,15
"Tallapoosa, Alabama",18.2,44.7,2.9,18.4
"Tuscaloosa, Alabama",16.5,33,0.5,30.7
"Walker, Alabama",17.4,42.1,1.6,11.3
"Washington, Alabama",20.8,43.7,0.3,12.7
"Wilcox, Alabama",29.7,40.5,1.3,12.5
"Winston, Alabama",19.1,45.2,2.7,12.8
"Aleutians East, Alaska",13,42.5,1.4,11.5
"Aleutians West, Alaska",5.5,38.6,1.2,17
"Anchorage, Alaska",7.6,33.6,1.7,36.1
"Bethel, Alaska",24.6,27.3,1,11.9
"Bristol Bay, Alaska",5.4,42.9,1.7,22.5
"Denali, Alaska",8,42.1,6.2,41.1
"Dillingham, Alaska",17.6,30.2,0.8,22.1
"Fairbanks North Star, Alaska",7.3,31.3,2.2,31.4
"Haines, Alaska",9.2,44.7,7.8,33.8
"Hoonah-Angoon, Alaska",10.9,49.6,4.5,21.3
"Juneau, Alaska",6.9,38.1,1.7,38.4
"Kenai Peninsula, Alaska",11.3,40.8,2.4,24.6
"Ketchikan Gateway, Alaska",8.2,39.7,0.9,25.3
"Kodiak Island, Alaska",9.5,33.9,3.3,28
"Kusilvak, Alaska",37.6,24.1,0,3.9
"Lake and Peninsula, Alaska",16.6,34.8,1.6,16.1
"Matanuska-Susitna, Alaska",10.7,35.2,2,21.6
"Nome, Alaska",19.7,28.3,0.3,16.1
"North Slope, Alaska",11.5,35.2,0.1,16.5
"Northwest Arctic, Alaska",22.1,27.8,0,13.2
"Petersburg, Alaska",5.6,42.8,1.1,28.4
"Prince of Wales-Hyder, Alaska",16.2,41.3,2.1,18.3
"Sitka, Alaska",8.3,39.5,3.1,33.4
"Skagway, Alaska",4.3,40.4,1,29.6
"Southeast Fairbanks, Alaska",10.6,36.8,3.9,19.7
"Valdez-Cordova, Alaska",7.7,38.1,2.8,30.8
"Wrangell, Alaska",5.7,49.4,0.4,19.4
"Yakutat, Alaska",3.7,36.9,2.7,22.6
"Yukon-Koyukuk, Alaska",27.4,35.2,1.9,13.6
"Apache, Arizona",34.6,35,2.3,12.3
"Cochise, Arizona",15.6,41.1,3.8,23.1
"Coconino, Arizona",18.1,30.7,2.2,36.2
"Gila, Arizona",17.9,50.2,4,18.7
"Graham, Arizona",21.8,33.6,2.6,15.2
"Greenlee, Arizona",11.3,34.5,1.7,13.5
"La Paz, Arizona",23.3,56.5,8.9,12
"Maricopa, Arizona",12.1,36.4,1.7,32.7
"Mohave, Arizona",14.4,51.6,2.3,12.9
"Navajo, Arizona",25.3,37.3,3.3,15.3
"Pima, Arizona",15.4,38.5,1.7,32.4
"Pinal, Arizona",12.6,39.3,2.3,19.5
"Santa Cruz, Arizona",22.2,36.7,2.6,20.4
"Yavapai, Arizona",12.2,53.4,1.5,25.9
