make,aspiration,body_style,curb_weight,num_of_cylinders,engine_size,price
alfa-romero,std,convertible,2548,4,130,13495
alfa-romero,std,convertible,2548,4,130,16500
alfa-romero,std,hatchback,2823,6,152,16500
audi,std,sedan,2337,4,109,13950
audi,std,sedan,2824,5,136,17450
audi,std,sedan,2507,5,136,15250
audi,std,sedan,2844,5,136,17710
audi,std,wagon,2954,5,136,18920
audi,turbo,sedan,3086,5,131,23875
bmw,std,sedan,2395,4,108,16430
bmw,std,sedan,2395,4,108,16925
bmw,std,sedan,2710,6,164,20970
bmw,std,sedan,2765,6,164,21105
bmw,std,sedan,3055,6,164,24565
bmw,std,sedan,3230,6,209,30760
bmw,std,sedan,3380,6,209,41315
bmw,std,sedan,3505,6,209,36880
chevrolet,std,hatchback,1488,3,61,5151
chevrolet,std,hatchback,1874,4,90,6295
chevrolet,std,sedan,1909,4,90,6575
dodge,std,hatchback,1876,4,90,5572
dodge,std,hatchback,1876,4,90,6377
dodge,turbo,hatchback,2128,4,98,7957
dodge,std,hatchback,1967,4,90,6229
dodge,std,sedan,1989,4,90,6692
dodge,std,sedan,1989,4,90,7609
dodge,turbo,sedan,2191,4,98,8558
dodge,std,wagon,2535,4,122,8921
dodge,turbo,hatchback,2811,4,156,12964
honda,std,hatchback,1713,4,92,6479
honda,std,hatchback,1819,4,92,6855
honda,std,hatchback,1837,4,79,5399
honda,std,hatchback,1940,4,92,6529
honda,std,hatchback,1956,4,92,7129
honda,std,sedan,2010,4,92,7295
honda,std,wagon,2024,4,92,7295
honda,std,hatchback,2236,4,110,7895
honda,std,hatchback,2289,4,110,9095
honda,std,sedan,2304,4,110,8845
honda,std,sedan,2372,4,110,10295
honda,std,sedan,2465,4,110,12945
honda,std,sedan,2293,4,110,10345
isuzu,std,sedan,2337,4,111,6785
isuzu,std,hatchback,2734,4,119,11048
jaguar,std,sedan,4066,6,258,32250
jaguar,std,sedan,4066,6,258,35550
jaguar,std,sedan,3950,12,326,36000
mazda,std,hatchback,1890,4,91,5195
mazda,std,hatchback,1900,4,91,6095
mazda,std,hatchback,1905,4,91,6795
mazda,std,sedan,1945,4,91,6695
mazda,std,sedan,1950,4,91,7395
mazda,std,hatchback,2380,2,70,10945
mazda,std,hatchback,2380,2,70,11845
mazda,std,hatchback,2385,2,70,13645
mazda,std,hatchback,2500,2,80,15645
mazda,std,hatchback,2385,4,122,8845
mazda,std,sedan,2410,4,122,8495
mazda,std,hatchback,2385,4,122,10595
mazda,std,sedan,2410,4,122,10245
mazda,std,sedan,2443,4,122,10795
mazda,std,hatchback,2425,4,122,11245
mazda,std,sedan,2670,4,140,18280
mazda,std,sedan,2700,4,134,18344
mercedes-benz,turbo,sedan,3515,5,183,25552
mercedes-benz,turbo,wagon,3750,5,183,28248
mercedes-benz,turbo,hardtop,3495,5,183,28176
mercedes-benz,turbo,sedan,3770,5,183,31600
mercedes-benz,std,sedan,3740,8,234,34184
mercedes-benz,std,convertible,3685,8,234,35056
mercedes-benz,std,sedan,3900,8,308,40960
mercedes-benz,std,hardtop,3715,8,304,45400
mercury,turbo,hatchback,2910,4,140,16503
mitsubishi,std,hatchback,1918,4,92,5389
mitsubishi,std,hatchback,1944,4,92,6189
mitsubishi,std,hatchback,2004,4,92,6669
mitsubishi,turbo,hatchback,2145,4,98,7689
mitsubishi,turbo,hatchback,2370,4,110,9959
mitsubishi,std,hatchback,2328,4,122,8499
mitsubishi,turbo,hatchback,2833,4,156,12629
mitsubishi,turbo,hatchback,2921,4,156,14869
mitsubishi,turbo,hatchback,2926,4,156,14489
mitsubishi,std,sedan,2365,4,122,6989
mitsubishi,std,sedan,2405,4,122,8189
mitsubishi,turbo,sedan,2403,4,110,9279
mitsubishi,std,sedan,2403,4,110,9279
nissan,std,sedan,1889,4,97,5499
nissan,std,sedan,2017,4,103,7099
nissan,std,sedan,1918,4,97,6649
nissan,std,sedan,1938,4,97,6849
nissan,std,wagon,2024,4,97,7349
nissan,std,sedan,1951,4,97,7299
nissan,std,hatchback,2028,4,97,7799
nissan,std,sedan,1971,4,97,7499
nissan,std,wagon,2037,4,97,7999
nissan,std,hardtop,2008,4,97,8249
nissan,std,hatchback,2324,4,120,8949
nissan,std,sedan,2302,4,120,9549
nissan,std,sedan,3095,6,181,13499
nissan,std,wagon,3296,6,181,14399
nissan,std,sedan,3060,6,181,13499
nissan,std,hatchback,3071,6,181,17199
nissan,turbo,hatchback,3139,6,181,19699
nissan,std,hatchback,3139,6,181,18399
peugot,std,sedan,3020,4,120,11900
peugot,turbo,sedan,3197,4,152,13200
peugot,std,wagon,3230,4,120,12440
peugot,turbo,wagon,3430,4,152,13860
peugot,std,sedan,3075,4,120,15580
peugot,turbo,sedan,3252,4,152,16900
peugot,std,wagon,3285,4,120,16695
peugot,turbo,wagon,3485,4,152,17075
peugot,std,sedan,3075,4,120,16630
peugot,turbo,sedan,3252,4,152,17950
peugot,turbo,sedan,3130,4,134,18150
plymouth,std,hatchback,1918,4,90,5572
plymouth,turbo,hatchback,2128,4,98,7957
plymouth,std,hatchback,1967,4,90,6229
plymouth,std,sedan,1989,4,90,6692
plymouth,std,sedan,2191,4,98,7609
plymouth,std,wagon,2535,4,122,8921
plymouth,turbo,hatchback,2818,4,156,12764
porsche,std,hatchback,2778,4,151,22018
porsche,std,hardtop,2756,6,194,32528
porsche,std,hardtop,2756,6,194,34028
porsche,std,convertible,2800,6,194,37028
renault,std,wagon,2579,4,132,9295
renault,std,hatchback,2460,4,132,9895
saab,std,hatchback,2658,4,121,11850
saab,std,sedan,2695,4,121,12170
saab,std,hatchback,2707,4,121,15040
saab,std,sedan,2758,4,121,15510
saab,turbo,hatchback,2808,4,121,18150
saab,turbo,sedan,2847,4,121,18620
subaru,std,hatchback,2050,4,97,5118
subaru,std,hatchback,2120,4,108,7053
subaru,std,hatchback,2240,4,108,7603
subaru,std,sedan,2145,4,108,7126
subaru,std,sedan,2190,4,108,7775
subaru,std,sedan,2340,4,108,9960
subaru,std,sedan,2385,4,108,9233
subaru,turbo,sedan,2510,4,108,11259
subaru,std,wagon,2290,4,108,7463
subaru,std,wagon,2455,4,108,10198
subaru,std,wagon,2420,4,108,8013
subaru,turbo,wagon,2650,4,108,11694
toyota,std,hatchback,1985,4,92,5348
toyota,std,hatchback,2040,4,92,6338
toyota,std,hatchback,2015,4,92,6488
toyota,std,wagon,2280,4,92,6918
toyota,std,wagon,2290,4,92,7898
toyota,std,wagon,3110,4,92,8778
toyota,std,sedan,2081,4,98,6938
toyota,std,hatchback,2109,4,98,7198
toyota,std,sedan,2275,4,110,7898
toyota,std,hatchback,2275,4,110,7788
toyota,std,sedan,2094,4,98,7738
toyota,std,hatchback,2122,4,98,8358
toyota,std,sedan,2140,4,98,9258
toyota,std,sedan,2169,4,98,8058
toyota,std,hatchback,2204,4,98,8238
toyota,std,sedan,2265,4,98,9298
toyota,std,hatchback,2300,4,98,9538
toyota,std,hardtop,2540,4,146,8449
toyota,std,hardtop,2536,4,146,9639
toyota,std,hatchback,2551,4,146,9989
toyota,std,hardtop,2679,4,146,11199
toyota,std,hatchback,2714,4,146,11549
toyota,std,convertible,2975,4,146,17669
toyota,std,sedan,2326,4,122,8948
toyota,turbo,sedan,2480,4,110,10698
toyota,std,hatchback,2414,4,122,9988
toyota,std,sedan,2414,4,122,10898
toyota,std,hatchback,2458,4,122,11248
toyota,std,hatchback,2976,6,171,16558
toyota,std,hatchback,3016,6,171,15998
toyota,std,sedan,3131,6,171,15690
toyota,std,wagon,3151,6,161,15750
volkswagen,std,sedan,2261,4,97,7775
volkswagen,std,sedan,2209,4,109,7975
volkswagen,std,sedan,2264,4,97,7995
volkswagen,std,sedan,2212,4,109,8195
volkswagen,std,sedan,2275,4,109,8495
volkswagen,turbo,sedan,2319,4,97,9495
volkswagen,std,sedan,2300,4,109,9995
volkswagen,std,convertible,2254,4,109,11595
volkswagen,std,hatchback,2221,4,109,9980
volkswagen,std,sedan,2661,5,136,13295
volkswagen,turbo,sedan,2579,4,97,13845
volkswagen,std,wagon,2563,4,109,12290
volvo,std,sedan,2912,4,141,12940
volvo,std,wagon,3034,4,141,13415
volvo,std,sedan,2935,4,141,15985
volvo,std,wagon,3042,4,141,16515
volvo,turbo,sedan,3045,4,130,18420
volvo,turbo,wagon,3157,4,130,18950
volvo,std,sedan,2952,4,141,16845
volvo,turbo,sedan,3049,4,141,19045
volvo,std,sedan,3012,6,173,21485
volvo,turbo,sedan,3217,6,145,22470
volvo,turbo,sedan,3062,4,141,22625
